ANONYMIZED,Term,Sentence_A,Sentence_B,ANONYMIZED,Answer1,ANONYMIZED,Answer2,Agreement,Answer,Date
ANONYMIZED,room,"Examples of physical security system components include:
Locks â€“ locks may be used to secure a building or room that a computer is in.","For samples that are soft or flexible at room temperature, cryogenic grinding may be the only viable technique for processing samples.",ANONYMIZED,Almost the same,ANONYMIZED,Exactly the same,No,no_agreement,2018-10-11 09:05:29 UTC
ANONYMIZED,interpretation,"Facts can be filtered according to various aspects of their interpretation (e.g., negation, certainly level, novelty).",The physical interpretation of the eigenvalues and eigenvectors which come from solving the system are that they represent the frequencies and corresponding mode shapes.,ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-11 09:07:12 UTC
ANONYMIZED,block,"With the rxadm utility, the user is capable of dynamically attaching, removing, and resizing RAM disk volumes and treat them like any other block device.","The cam element is often a plate or block, but may be any cross section.",ANONYMIZED,Exactly the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:04:10 UTC
ANONYMIZED,order,"In order to program in Artspeak on the CDC 6600, one had to use punch cards and utilize batch processing.",All my life I maintained respect for order and law.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:06:52 UTC
ANONYMIZED,phase,The objective of haplotype phasing is to find the phase of the two haplotypes given the combined genotype information.,"The position at a given time t also depends on the phase, Ï†, which determines the starting point on the sine wave.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:04:00 UTC
ANONYMIZED,interpretation,"However, Mumfordâ€™s interpretation of Pattern Theory is broader and he defines PT to include many more well-known statistical methods.","These exceptions leave room for interpretation and provide scope, together with the currently applied test procedure, for tailoring the emissions performance [...].",ANONYMIZED,Exactly the same,ANONYMIZED,Exactly the same,Yes,Exactly the same,2018-10-11 09:06:31 UTC
ANONYMIZED,year,"A year later, McCarthy moved to MIT as a research fellow in the autumn of 1956.","A solar-tracking 7 kW photovoltaic system would probably have an installed price well over $20,000 USD (with PV equipment prices currently falling at roughly 17% per year).",ANONYMIZED,Almost the same,ANONYMIZED,Exactly the same,No,no_agreement,2018-10-11 09:07:21 UTC
ANONYMIZED,transfer,"The original Accord defined a programmatic interface for transfer of event information, in terms of Fortran common blocks, but no data exchange file format was defined until 2006.","The heat transfer rate is finite, so the faster the reaction is, the closer to adiabatic condition it runs and the higher is the achieved temperature.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:05:38 UTC
ANONYMIZED,transfer,"Tannehill, John C., et al., (1997), Computational Fluid mechanics and Heat Transfer, 2nd Ed., Taylor and Francis.","It is useful in electrical systems (including electronics), mechanical multibody systems, heat transfer, acoustics, etc.",ANONYMIZED,Almost the same,ANONYMIZED,Exactly the same,No,no_agreement,2018-10-11 09:07:26 UTC
ANONYMIZED,distance,"Further features like intersections, distance calculation and parametrizing the inputs are available.",Distance of nozzle from workpiece affects the size of the kerf and the removal rate of material.,ANONYMIZED,Almost the same,ANONYMIZED,Exactly the same,No,no_agreement,2018-10-11 09:05:15 UTC
ANONYMIZED,argument,"Each function has an implicit history argument which is used for doing things like strictly functional input/output (I/O), but is also used for linking to C code.","The second objective is a reply to arguments such as John Searle's Chinese room argument, Hubert Dreyfus' critique of AI or Roger Penrose's argument in The Emperor's New Mind.",ANONYMIZED,Exactly the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:05:03 UTC
ANONYMIZED,film,"It features 46 film clips taken from 27 documentary films, extensive interactive timelines, in-depth essays supported by primary documents, photos, and other resources.",The thickness of such a film is temperature dependent and is thinner on the colder side of the particle.,ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:07:06 UTC
ANONYMIZED,reduction,"), deinterlacing, image noise reduction, adaptive video compression, and image enhancement.","Front wheels are powered directly by the hybrid powertrain, rear wheels are powered by a dedicated electric motor with its own power control unit, reduction gear and differential.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-11 09:06:05 UTC
ANONYMIZED,hull,So are all cones in R3 whose base is the convex hull of a regular polygon with an odd number of vertices.,"Since the reactor occupied the center of the ship, and because the reactor required clear overhead access for a crane during refueling, the superstructure was set far back on the hull.",ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:06:58 UTC
ANONYMIZED,block,"For NMDA, there is a significant effect of magnesium block that depends sigmoidally on the concentration of intracellular magnesium by B(V).","The simplest Roman crane, the trispastos, consisted of a single-beam jib, a winch, a rope, and a block containing three pulleys.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:12:35 UTC
ANONYMIZED,argument,A proof is sufficient evidence or a sufficient argument for the truth of a proposition.,A more conceptual argument was provided by Julian Schwinger in 1950.,ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:06:24 UTC
ANONYMIZED,expression,"No automatic valve will know what this means because ""a bit to the right"" is a linguistic expression, and a valve must be turned by numerical values, i.e.",The expression for the mean is a continuous function of q over the range of definition for which it is finite.,ANONYMIZED,Exactly the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:05:48 UTC
ANONYMIZED,disk,"For example, data stored on disk are expected to be stable â€“ they are not supposed to be changed at random by problems with a disk controller.","Within the center section is a disk mounted on an axle, with weak springs that keep it centered, away from both entries.",ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-11 09:15:40 UTC
ANONYMIZED,option,File types that have identified themselves as being printable also have an option listed to print the file.,"Monte Carlo methods are also used in option pricing, default risk analysis.",ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:05:57 UTC
ANONYMIZED,house,"""Cozy Bear"" has in the past year infiltrated unclassified computer systems of the White House, the U.S. State Department, and the U.S. Joint Chiefs of Staff.","In 2010, a jury awarded $1.2 million in damages in a lawsuit against a landlord for neglecting to repair a mold-infested house in Laguna Beach, California.",ANONYMIZED,Exactly the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:06:22 UTC
ANONYMIZED,link,"CS1 maint: Uses editors parameter (link)
Gondzio, Jacek; Terlaky, TamÃ¡s (1996).","CS1 maint: Unfit url (link)
SS Claverly Wreck Report, with a stern view of SS Claverley showing narrow harbour decks a short distance above the water.",ANONYMIZED,Almost the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-11 09:22:38 UTC
ANONYMIZED,block,"Working from an equation description of the problem or a block diagram, the user writes ACSL statements to describe the system under investigation.","Cylinders are generally arranged in this manner when the engine block is of limited size or when stability of the cylinder bores is of concern, such as in racing engines.",ANONYMIZED,Extremely different,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-11 09:06:44 UTC
