ANONYMIZED,Term,Sentence_A,Sentence_B,ANONYMIZED,Answer1,ANONYMIZED,Answer2,Agreement,Answer,Date
ANONYMIZED,force,"It's really hard to force someone to do work, you can't beat someone up through a computer screen.""",The only way of stopping conduction is to make the external circuit force the current to drop below a (low) critical current.,ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:03:17 UTC
ANONYMIZED,force,"In 1989, Steele solved the game Teeko via computer, showing what must occur if both players play wisely; he found that neither player can force a win.","The driving force was to replace toxic and cumbersome potting processes, faster cycle times, lighter parts and environmentally safe components.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:03:13 UTC
ANONYMIZED,bell,"In 1993 Rastogi started working at Bell Labs in Murray Hill, New Jersey.","In the wire spring relay key service units of the Bell System 1A2, a model 216 automatic ringdown was used to operate the circuit.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:03:03 UTC
ANONYMIZED,solution,The engineer need only be very knowledgeable of the potential engineering solution space.,The HP Cloud Managed Network Wireless LAN solution is designed to enable organizations to manage wireless infrastructure without having to have an on-premises controller.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:03:22 UTC
ANONYMIZED,studio,"ProGet currently supports a growing list of package managers, including Nuget, Chocolatey, Bower, npm, Maven, PowerShell, RubyGems, Docker and Visual Studio Extensions (.vsix).","In August 2016, Univision announced a deal to broadcast Spanish-language Los Angeles Rams programming, including pre-season games and studio programs.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:02:19 UTC
ANONYMIZED,law,"In the judgment in CFPH LLC's Applications, Peter Prescott referred to Rule 39.1 PCT when discussing the motivation behind the exclusion from patent protection of programs for computers under UK law.","Therefore, the capacitance can be calculated in a straightforward way using Gauss's law.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:02:24 UTC
ANONYMIZED,cycle,"In management this can be present as a ""hero-scapegoat"" cycle.",This modulation converts the linearly polarized light into circularly polarized light at the peaks of the modulation cycle.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:02:12 UTC
ANONYMIZED,solution,"That may be a solution for some people, but it's not mine.","One solution to this problem would be to sell these defected panels at a lower price than normal ones, clearly indicating the presence of such defects.",ANONYMIZED,Almost the same,ANONYMIZED,Extremely different,No,no_agreement,2018-10-08 17:02:29 UTC
ANONYMIZED,law,"The platform is provided by CitizenGlobal, free of charge, to law enforcement and relief agencies for use during large emergency events.","The relation was mathematically modelled by Faraday's law, which subsequently became one of the four Maxwell equations.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:02:59 UTC
ANONYMIZED,mapping,The integration is performed by means of an automatic mapping and by filling in lexical gaps in resource-poor languages with the aid of statistical machine translation.,"""Co-existence of cycles of a continuous mapping of the line into itself"".",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:03:22 UTC
ANONYMIZED,mapping,"Because of this density criterion for neural mappings, neural maps which are interconnected by a neural mapping are not far apart from each other.","Hence each ingress switch can be paired off with an egress switch that carries the same call, via a one-to-one mapping.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:03:00 UTC
ANONYMIZED,capacity,"With the Internet a new capacity for collective, including planetary-scale, problem solving was created.","It also took some time for other storage manufacturers to release products: most were smaller devices aimed at the professional market, and focussed on speed rather than high capacity.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:03:07 UTC
ANONYMIZED,surface,The BioWall is a bio-inspired computing surface made of several thousand electronic modules which can be seen as artificial molecules.,"Surface tension causes the bead to have a curved surface and rise above the solder mask, where it solidifies into a Bead Probe.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:02:35 UTC
ANONYMIZED,period,There can be no long gaps in the datasets and all required datasets must be available during the span of the proposed simulation period.,"In the post-war period, lawsuits and demands for compensations were presented against the Mitsubishi Corporation, in particular by former Chinese workers.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:03:34 UTC
ANONYMIZED,surface,The number of cells on a surface of a d-dimensional von Neumann neighborhood of range r is the Zaitsev number (sequence A266213 in the OEIS).,"At lower temperatures, around 250 Â°C, there is insufficient thermal energy for surface segregation to occur but still sufficient for a good quality single crystal alloy to form.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:03:25 UTC
ANONYMIZED,interpretation,"Linear Programming Interpretation of Max-Flow Min-Cut Theorem"".","In this case, the physical interpretation is more difficult.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:03:14 UTC
ANONYMIZED,surface,Hubbard at the Naval Surface Warfare Center Dahlgren Division discovered this in 1965.,"One process is called thermal oxidation, which forms silicon dioxide on the surface of the silicon.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:03:30 UTC
ANONYMIZED,news,"It was also a client for earlier protocols such as File Transfer Protocol, Network News Transfer Protocol, and Gopher.","In many cases, radio listeners tuned into experimental transmissions by the first stations developing AM modulation, and the stations began to cater to their unexpected audience with news and music.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:03:08 UTC
ANONYMIZED,news,Usenet is a worldwide distributed discussion system using the Network News Transfer Protocol (NNTP).,"In 1994 Apple launched eWorld, an online service providing email, news and a bulletin board system to replace AppleLink.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:03:04 UTC
ANONYMIZED,solution,"However, where an on-the-shelf solution is necessary, due to time or monetary considerations, some level of customization is likely to be required.","For arbitrary values of the force constant, k, the SchrÃ¶dinger equation does not have an analytic solution.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:03:45 UTC
ANONYMIZED,relation,"At the heart of each REA model there is usually a pair of events, linked by an exchange relationship, typically referred to as the ""duality"" relation.",This solution is useful for showing the relation between anti-particle and particle.,ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-08 17:05:09 UTC
ANONYMIZED,transfer,"The term generally refers to a suite of computer programs and protocols allowing remote execution of commands and transfer of files, email and netnews between computers.","Entanglement, as demonstrated in Bell-type experiments, does not, however, violate causality, since no transfer of information happens.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:06:50 UTC
ANONYMIZED,layer,This is achieved by making a shadow copy of all the kernel hooks at one central place and adding an indirection layer on it to regulate attempts to access the hooks.,Some stackable architectures allow for continued Layer 3 routing if there is a â€œdownâ€ switch in a stack.,ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-08 17:04:23 UTC
ANONYMIZED,flash,"The functionality of a live CD is also available with a bootable live USB flash drive, or even an external USB drive.","In March 2014, Toshiba sued SK Hynix accusing the company for stealing technology of their NAND flash memory.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:05:15 UTC
ANONYMIZED,relation,"New National Centres in Systems Biology have been established in relation to the BioSim partners in Manchester, Warwick, and Edinburgh.","In fact, the superposition theorem not only establishes the relation between the values of the resistances, but also guarantees the uniqueness of such solution.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:05:38 UTC
ANONYMIZED,contact,"Machine learning has also been applied to proteomics problems such as protein side-chain prediction, protein loop modeling, and protein contact map prediction.",Anywhere the language comes in contact with information technology languages needs and it is organized so that it can be handled and processed by computational means.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:06:38 UTC
ANONYMIZED,output,A different output MIDI synth or output device port can be selected only by editing the registry or using third party MIDI default output device configuration tools.,A Rack processes audio from a user-selected input and sends the processed output to a user-selected output.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:05:05 UTC
ANONYMIZED,contact,The scientists appear to be working on the Mother Box that Superman came in contact with from the Parademon.,"Down force depends on the contact area which, in turn, is dependent on the structures of both the wafer and the pad.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:04:44 UTC
ANONYMIZED,formula,"The article notes how some songs can reach a complexity level, for a song of length N words, as formula: O(log N).",Thus this formula is best applied to stable software development teams which have completed multiple projects.,ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-08 17:05:30 UTC
ANONYMIZED,interpretation,"Facts can be filtered according to various aspects of their interpretation (e.g., negation, certainly level, novelty).",The relative state interpretation of quantum mechanics is an attempt to understand the experience of observers using only quantum mechanical notions.,ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:05:40 UTC
ANONYMIZED,period,"Since mathematics is the formal language of automatic control theory, we could call the period before this time the prehistory of control theory.","The effective length of the random sequence of an additive scrambler is limited by the frame length, which is normally much shorter than the period of the PRBS.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:06:42 UTC
ANONYMIZED,formula,A set A is said to be arithmetical in B if A is definable by a formula of Peano arithmetic with B as a parameter.,"To employ this formula, one has to identify a critical controlled source for the particular amplifier circuit in hand.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:07:06 UTC
ANONYMIZED,layer,"In terms of security, Projecturf uses 256-bit encrypted Secure Socket Layer (SSL) for all data transfers.","For most ASIC manufacturers, this consists of from two to as many as nine metal layers, each metal layer running perpendicular to the one below it.",ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-08 17:06:26 UTC
ANONYMIZED,capacity,"""A Model for Web-Intelligence Index to Evaluate the Web Intelligence Capacity of Government Web Sites of Sri Lanka"" (1st ed.).","Once the Umax voltage is reached, typically when the battery is charged to 70â€“80% of its capacity, the charger enters the Uo-phase.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:06:57 UTC
ANONYMIZED,law,"In 2014, the Fashion Law Institute held a panel discussion, which focused on patents, about wearable technology.","On December 22, 1941, the enemy property control law was passed.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:05:34 UTC
ANONYMIZED,transfer,"The challenge stemmed from the fact that cookies are domain-specific, so there was no simple way to seamlessly transfer a user from one website to another.",The Extra Element Theorem (EET) is an analytic technique developed by R. D. Middlebrook for simplifying the process of deriving driving point and transfer functions for linear electronic circuits.,ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:06:19 UTC
ANONYMIZED,force,"In 2007, Berman became co-Chair of the â€˜â€™Blue Ribbon Task Force on Sustainable Digital Preservation and Accessâ€™â€™.","Approaches for solving (1+Îµ)-approximate nearest neighbor search include kd-trees, Locality Sensitive Hashing and brute force search.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:05:24 UTC
ANONYMIZED,flash,VLC can be installed or run directly from a USB flash drive or other external drive.,"Disk array controller, also known as RAID controller, a type of storage controller
Flash controller, or SSD controller, manages flash memory.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:05:03 UTC
ANONYMIZED,contact,After a source code release installers and packages are made for different operating systems by parties who might not be in contact with the maintainers of GIMP.,"Jobs did not contact his birth family during Clara's (his adoptive mother) lifetime, however.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:07:02 UTC
ANONYMIZED,output,The output has most of its weight where the '4' was in the original input.,"The AirPort Express' streaming media capabilities use Apple's Remote Audio Output Protocol (RAOP), a proprietary variant of RTSP/RTP.",ANONYMIZED,Exactly the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:06:46 UTC
ANONYMIZED,output,The goal is to optimize the weights of the neurons to output a desired response at the output layer respective to a set given inputs at the input layer.,"Cerium(III)-doped YAG (YAG:Ce3+, or Y3Al5O12:Ce3+) is often used; it absorbs the light from the blue LED and emits in a broad range from greenish to reddish, with most of output in yellow.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:07:16 UTC
ANONYMIZED,formula,A formula game is an artificial game represented by a fully quantified Boolean formula.,Barium stannate is an oxide of barium and tin with the chemical formula BaSnO3.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:07:11 UTC
ANONYMIZED,cycle,Cancer In this area the network uses computer models of the cell cycle and of its coupling to the 24 h day-and-night rhythm to improve the treatment of patients with cancer.,"The MPT8080 acts like a simulator, in that code can be stepped through one instructionâ€”or each cycle of each individual instructionâ€”at a time to observe what is happening.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:05:27 UTC
ANONYMIZED,layer,Cho; molecular beam epitaxy allows semiconductor chips and laser matrices to be manufactured one atomic layer at a time.,Gate oxide is formed by oxidizing the silicon of the channel to form a thin (5 - 200 nm) insulating layer of silicon dioxide.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:05:36 UTC
ANONYMIZED,news,"Mission to build a simulated brain begins, [New Scientist] News, 6 June 2005.","The show features commentary on the day's sports news, perspective on other news stories, and interviews with celebrities, sports analysts and sports figures.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:05:28 UTC
ANONYMIZED,cycle,The sensitivity to initial conditions is used to switch between different patterns extremely fast (well under a computer clock cycle).,"Further advances in the acrylic compounds used decreased the curing cycle times to below 5 seconds in many cases, which is where they remain as of this writing.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:05:42 UTC
ANONYMIZED,period,Several studies have produced output that suggests that Wii games are able to effectively increase patients' scores after a certain period of rehabilitation through them.,It used a system of pulleys and wires to automatically calculate predicted tide levels for a set period at a particular location.,ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:06:53 UTC
ANONYMIZED,motor,"The team signed up with Warner Music, Indianapolis Motor Speedway Productions (Indianapolis 500, IndyCar Series) and production company Endemol for the beta.","Telescopic lattice masts are raised by means of a winch, which may be powered by hand or an electric motor.",ANONYMIZED,Almost the same,ANONYMIZED,Almost the same,Yes,Almost the same,2018-10-08 17:05:46 UTC
ANONYMIZED,bell,"She has held several advanced architecture and research positions at Pollere, Cisco, Bay Networks, Com21, Philips Research Labs, Apple Computer, and AT&T Bell Labs.","John Bell showed that this ""EPR"" paradox led to experimentally testable differences between quantum mechanics and theories that rely on added hidden variables.",ANONYMIZED,Somewhat different,ANONYMIZED,Somewhat different,Yes,Somewhat different,2018-10-08 17:05:51 UTC
ANONYMIZED,studio,"MetaEdit+ 5.0 was released in December 2012, with Eclipse and Visual Studio integration, dynamic symbols, enhanced graphics, and graphical viewing of changes.","Using a patchbay also saves wear and tear on the input jacks of studio gear and instruments, because all of the connections are made with the patchbay.",ANONYMIZED,Almost the same,ANONYMIZED,Somewhat different,No,no_agreement,2018-10-08 17:07:19 UTC
