Term, Sentence A, Sentence B, Sentence C, Sentence D
part,A modified version of Executive was also used as part of GEORGE 3 and 4.,"The best-known type is the commutator, which is an integral part of a DC dynamo, but before solid-state devices became available, independent mechanical rectifiers were used for certain applications.",The company was back in the news again in 2010 after a couple were reunited 23 years on when the mother traced her ex to ask him to take part in a paternity test.,"Symposium on Structure of Turbulence and Drag Reduction, Physics of Fluids, 20 (10 part 11), (pp."
message,"Viewers 'click' on these Grafedia hyperlinks with their mobile phones by sending a message addressed to the word + ""@grafedia.net"" to get the content behind the link.","Current models of Renault MPV, Scenic and Espace both use VFD panels to show all functions on the dashboard including the radio and multi message panel.",The films carry the message that no one is immune from exposures to hazardous chemicals.,"At the Championship in St. Louis, President of the United States Barack Obama has spoken via a pre-recorded message every year from 2011-2014."
laboratory,"He is currently a professor at the EPFL (Lausanne), in the Laboratory for Cryptologic Algorithms, and previously worked for Citibank and Bell Labs.","The United States Naval Research Laboratory used steel rods wrapped into a helix, but this was useful only for low frequencies under 1 MHz.","Literature-based discovery does not generate new knowledge through laboratory experiments, as is customary for empirical sciences.","Also the New York State Alternative Fuel Vehicle Research Laboratory will conduct testing for technologies such as fuel cell systems, alternative fuels, and greenhouse gas reduction technologies."
institution,"In 2013, Allen was selected for the Presidential Innovation Fellows program working with the Smithsonian Institution.",Operators and maintenance personnel should learn and follow the safety advice of the manufacturer and/or the institution responsible for the equipment.,"She got to meet for the first time Dr. Ida S. Scudder, the founder of the institution, at the time of her admission to the course.","This prototype, called the macaroni box, is in the Smithsonian Institution in Washington, D.C., United States."
structure,"It uses a 12 round structure in which half of the block determines the transformation of the other half in each round, similar to a Feistel cipher or RC5.","KTVU moved its transmitter facilities to the Sutro Tower, after the structure was completed in 1973.","The study identifies eleven prescription medications that satisfied the study criteria, based on the American pharmaceutical cost structure, pill formulation, and dosages of the time.","Public Domain

8) Image of RCEME Maintenance Platoon Deployment Structure Giffin, Cfn."
relation,For instance __approved__ can only be true or false because it is used as a condition and LINES should be a relation to ORDER_LINES.,"Using computational methods, Japanese sentence corpora were analyzed and a pattern of log-normality was found in relation to sentence length.","Vyasa's commentary on the Yoga Sutras, also called the Samkhyapravacanabhasya (Commentary on the Exposition of the Sankhya Philosophy), describes the relation between the two systems.",The Firebird 1 was never meant as a serious commercial passenger car and was solely built for testing & evaluation as well as public relation purposes.
expression,^txt2regex$ is a regular expression wizard that leads the user through the construction of a regular expression by asking a series of questions.,The resistor ratios in the above expression are called the loading factors.,The angiogenic switch leads to tumor expression of pro-angiogenic factors and increased tumor vascularization.,"This is similar to the expression for shear waves, save that Young's modulus replaces the shear modulus."
statement,"But this Court has never made such a statement and, if taken literally, the statement would cover instances where this Court has held the contrary.""","Concurrent statement executions by two or more instances may also lead to contention, and subsequently Busy waiting for the process without the lock.",The Society of Obstetricians and Gynaecologists of Canada published a policy statement against elective vaginoplasty based upon the risks associated with unnecessary cosmetic surgery in 2013.,"Air Canada did not directly address the key issues of providing planes or undercutting bids, but said in a general statement that Air Canada ""is very disappointed by the Aveos announcement."""
father,"She had other inspirations outside the technological world, including her father, the philosopher and poet, and her grandfather, a school headmaster and Quaker Minister.","Nine months later, she gives birth to Lea's son, whom Tom Lea names George, apparently after his father.","It was founded in Eindhoven in 1891, by Gerard Philips and his father Frederik.",He gained experience in manufacturing alkalis at Marseilles before returning to Newcastle in 1836 to work in his father's Walker iron and chemical works.
concept,"Even so, there are a few operational products maturing from proof of concept by late 2016.",All three elements in series or all three elements in parallel are the simplest in concept and the most straightforward to analyse.,"The concept for Derm101 was envisioned and proposed to Dr. Ackerman by Zwick in 1999, while he was a senior at Harvard, and they went on to develop Derm101 together.",The concept of time evolution may be applicable to other stateful systems as well.
father,"Hertzfeld describes Raskin's relationship to the finished Mac product more like an ""eccentric great uncle"" than its father.","Sir Ernest Rutherford becomes known as the ""father of nuclear physics"": with his nuclear atom model of 1911 he leads the exploration of nuclear physics.","Her father moved from Silesia to Lübeck as a young pharmacist and established a studio as a photographer, a new art at that time.","He is also the father of Luke Skywalker and Princess Leia Organa, grandfather of Kylo Ren, and secret husband of Padmé Amidala."
sin,"sin(x)
time = 0 ms.
%3 = x - 1/6*x^3 + 1/120*x^5 - 1/5040*x^7 + 1/362880*x^9 - 1/39916800*x^11
+ 1/6227020800*x^13 - 1/1307674368000*x^15 + O(x^17)

?","The directional factor cos[(π/2)cos θ]/sin θ is barely different from sin θ applying to the short dipole, resulting in a very similar radiation pattern as noted above.","Also, ″… the blood of Jesus Christ his [God] Son cleanseth us from all sin.""",An orthogonal basis is given by the function sin(nθ) and cos(nθ) for n > 0.
expression,Tasks can be triggered by an XPath expression for filtering events from the Windows Event Log.,"The expectation value of this distribution is given by the expression

  
    
      
        ⟨
        ψ
        |
        A
        |
        ψ
        ⟩
        .","In addition, expression of drug resistance molecules and transporters at the BBB are a significant mechanism of resistance to commonly used anti-epileptic drugs.","Schweber points out that the idea and procedure of second quantization goes back to Jordan, in a number of papers from 1927, while the expression itself was coined by Dirac."
glass,The HTC 10 also includes a fingerprint sensor under the 5.2-inch 1440x2560 Gorilla Glass 3 screen.,"Ozone glasses have excellent conformality but tend to be hygroscopic – that is, they absorb water from the air due to the incorporation of silanol (Si-OH) in the glass.","They can be used in various industries including medical, pharmaceutical production, water treatment and glass manufacture.","Amorphous solid structures occur when a liquid is cooled too rapidly for the crystalline structure to form, for example glass."
relation,JUNG also facilitates the creation of analytic tools for complex data sets that can examine the relations between entities as well as the metadata attached to each entity and relation.,"These lenses are often very large in relation to sensor size, but with a small sensor can be fitted into a compact package.",In relation to surrogacy it recommended that the commissioning couple would under Irish law be regarded as the parents of the child.,"Before the next plank is laid up, the face of the land on the lower strake is bevelled to suit the angle at which the next strake will lie in relation with it."
message,"A timing attack on the SSH protocol can use timing information to deduce information about passwords since, during interactive session, SSH transmits each keystroke as a message.","In addition, F4V file format can contain data corresponding to the ActionScript Message Format and still frame of video data using image formats GIF, JPEG and PNG.",They often recycled their own images and texts to circulate their message beyond its initial viewers.,It transmits messages known as Common Awareness Messages (CAM) and Decentralised Notification Messages (DENM) or Basic Safety Message (BSM).
ion,"For example, blue light causes the light-gated ion channel channelrhodopsin to open, depolarizing the cell and producing a spike.","Compatibility with other high vacuum thin-film processing methods, such as metal evaporation and ion implantation.",This ion channel is formed on the outer mitochondrial membrane in response to certain apoptotic stimuli.,"In many cases, propulsion systems with very high specific impulses—some ion thrusters reach 10,000 seconds—produce low thrusts."
formula,ISIS/Draw also included structure and reaction validation features and could calculate elementary properties such as formula and molecular weight.,"In the US, PI is determined by applying a formula to the station's call sign.",The term was used frequently in the investigation into the death of Formula One driver Ayrton Senna in 1994.,Both GT and NT are obtained by measuring ship's volume and then applying a mathematical formula.
laboratory,"CSC soon submitted a successful proposal to MIT's Lincoln Laboratory for a S/360-67, marking an improvement in IBM's credibility at MIT.","HPCx was a supercomputer (actually a cluster of IBM eServer p5 575 high-performance servers) located at the Daresbury Laboratory in Cheshire, England.","Sharks are baited into biting hard plastic sheets, which are brought to the laboratory.","A venturi meter is more efficient, but usually more expensive and less accurate (unless calibrated in a laboratory) than an orifice plate."
partner,"He developed the first biomedical cloud that was designated as a NIH Trusted Partner, allowing it to interoperate with NIH's controlled access genomic data.","Many factories started production of home computers based on this design (such as the Apogey BK-01, Mikrosha, Krista, Partner 01.01, and the Spektr-001).","The CSNE is based at the University of Washington, and its main partner organizations are Massachusetts Institute of Technology (MIT) and San Diego State University (SDSU).","Gramme's partner, Hippolyte Fontaine, carelessly connected the terminals of a Gramme machine to another dynamo which was producing electricity, and its shaft began to spin."
ion,"It uses analog computation to emulate ion channel activity, and digital communication to softwire structured connectivity patterns.","Today, ion exchange (IX) and electrodeionization (EDI) are the primary deionization technologies associated with UPW production, in most cases following reverse osmosis (RO).",The NIRS maintains various ion accelerators in order to study the effects of radiation of the human body and medical uses of radiation.,Caesium vapor is used to optimize the electrode work functions and provide an ion supply (by surface ionization) to neutralize the electron space charge.
detector,"""Interview with Dmitriy Vyukov — the author of Relacy Race Detector (RRD)"".","For example: if an alarm system's software uses 2K ohms as its non-alarm value, an inactive detector will give a reading of 2K ohms as the circuit is passing through just one resistor.",Standard Medipix detector increases the counter in the appropriate pixel if the signal is above the discrimination level.,"These fuel level sensors work similar to the potentiometer example, however a sealed detector at the float pivot determines the angular position of a magnet pair at the pivot end of the float arm."
statement,A control block called the JFCB (Job File Control Block) initially holds the information extracted from the DD statement for the dataset.,"An identification that the wave function applies to an individual system in standard CI QM, does not defeat the inherent probabilistic nature of any statement that can be made within standard QM.","In a statement on its website, the group said the name change reflected work it was already doing outside of abortion rights advocacy.","He then generalized this statement to a wider class of systems, which have since been called Anosov diffeomorphisms and Anosov flows."
argument,"The use of this operator may result in a partial function, that is, a relation with at most one value for each argument, but does not necessarily have any value for any argument (see domain).",The argument is based on the analogy of the above expression with the Fermi-golden-rule calculation of the transitions that are induced by the system-environment interaction.,This was taken from an argument dealing with the possibility of a nuclear conflict in that region.,"Einstein's theoretical argument was based on thermodynamics, on counting the number of states, and so was not completely convincing."
sin,"The example above, of List comprehension in the sin() function, is a useful feature in of itself.","In effect, the focus is not on the time-domain signal A sin(ωt+θ0) but rather the argument of the sine function (the phase).","As of Original Sin #6, it is revealed that the Infinity Formula that was within Nick Fury has been shown not to be permanent and was ""used up"" and Fury began aging rapidly.",{\displaystyle \Pr(S<x<S+dS)={\frac {2}{L}}~{\rm {sin}}^{2}\left({\frac {\pi S}{L}}\right)dS.}
